47081,352
50013,647
27559,1248
254,678
23634,724
13887,918
57325,283
22685,282
32694,234
25163,758
9465,991
40299,1078
27072,528
16867,884
40478,1080
46083,1206
48992,1088
2729,672
38092,836
5630,470
60018,765
14423,680
51756,673
19521,5
33208,994
20512,7
12231,393
25808,354
47633,603
34606,914
53730,837
17100,87
11242,958
3172,670
22903,283
31290,153
20966,1116
11485,270
7774,310
27044,672
43485,37
43689,1161
50036,1277
59770,848
5083,394
41033,1114
19032,71
52891,724
56413,278
27093,155
29710,594
21704,1004
32696,82
9296,796
15833,78
4096,1032
21029,1207
10982,1158
39964,111
57094,315
44683,327
45868,1113
3221,313
35640,155
14176,528
57604,1121
19221,164
44353,720
7095,968
12140,992
2141,766
20753,487
25358,1044
58363,190
60971,1230
29768,953
11896,78
28077,1198
23886,363
30038,350
52458,46
6331,638
12734,1070
31236,837
31765,802
52920,958
59315,758
56883,837
39807,1208
28312,838
46896,830
6626,36
20726,554
8278,446
19224,1125
46068,1120
10940,957
38,1007
36647,160
43148,1198
12156,40
36153,918
13200,286
21984,481
8812,1121
50718,1038
12892,1128
43636,1083
522,848
18303,1120
14449,168
58565,1070
46324,874
41942,645
47877,442
24626,125
29333,605
43455,1208
57817,325
26405,551
11705,243
37272,671
23193,912
59476,990
56148,911
29067,30
21008,911
19809,443
18589,44
49789,313
51942,392
23120,835
30261,806
15373,801
47583,445
45568,1124
21481,1127
15117,76
28349,445
49765,1124
2895,76
58281,40
31036,1205
24602,80
19532,1040
51437,557
49785,638
22174,523
14429,968
4908,1114
24848,1234
44901,565
10257,808
10550,77
44105,164
16825,121
32241,394
23238,1076
5117,964
31732,590
10283,280
50224,273
45662,40
18287,394
34377,630
7305,1082
34940,478

fold along x=31231
fold along x=15615
fold along x=7807
fold along x=3903
fold along y=639
fold along y=319
fold along y=159
fold along x=1951
fold along x=975
fold along y=79
fold along y=39
fold along x=487
fold along x=243
fold along x=121
fold along y=19
